text,prediction
@kendihaliindee1 @Memogun14 Günaydın☀️,[[0.46964119 0.53035881]]
RT @ebru7747: 7- İHA'nın garabetlerinden birini daha hatırlayalım!  @semrakuytul Hocahanım'ın aracına kavşakta 70 km hız ile çarpan,[[0.46964119 0.53035881]]
RT @Istanbulfatih6: Adliye Önünde Furkan Gönüllülerine Müdahale Varr❗❗❗....   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
şimdi ben dersi bırakıp nasıl eve gitmeyeyim 👉🏻👈🏻  https://t.co/NPtRPmWm93,[[0.29239653 0.70760347]]
RT @furkanhabernet: Furkan Gönüllülerine destek olmak için şehir dışından gelen vatandaşlar şehre alınmıyor!  Seyahat hakkı keyfi olarak en…,[[0.46964119 0.53035881]]
@ozkanyilmaaz1 Arkadaşım buradaki kazlarda işin bilincinde yorma kendini hayrını gör.,[[0.46964119 0.53035881]]
@ibrahimtklu Alsana lan gerçekten 😃,[[0.46964119 0.53035881]]
@batuhancolak33 Ülkelerinden kaçıp gelenler.,[[0.46964119 0.53035881]]
Hadi keselim ya bu kadar ilgi yeter  https://t.co/Z3TlQ2NbEG,[[0.40711539 0.59288461]]
@Damlanurgokkk Adam olsun yeter deli ettiniz kendinizi kızz,[[0.46964119 0.53035881]]
RT @saintlacrime: cobra verde (werner herzog,[[0.46964119 0.53035881]]
bundan üc ay önce tükenmis,[[0.46964119 0.53035881]]
RT @BeyzaGvenmez: Sizin zulümde inadınızdan daha güçlü bir inadla hakka ve adalete sarılacağız Artık yeter gerçekten çok azdınız!!!  Kardeş…,[[0.46964119 0.53035881]]
@Ozgekocahan 3 kere bedel diyince yanımda beliriyor hahahah,[[0.46964119 0.53035881]]
Sevmeyin kardeşim sevmeyin güvenmeyin örnek alın beni,[[0.46964119 0.53035881]]
Sıkılmaktan sıkıldım artık,[[0.46964119 0.53035881]]
RT @Huzursesimiz123: GÜNDEM ÇALIŞMAMIZ BAŞLADI  Etiketimiz:  Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
RT @semrakuytul: İşadamı bulundu,[[0.46964119 0.53035881]]
Ne yazim ki ya şimdi sabah sabah uyuyun işte uğraştırmayın,[[0.46964119 0.53035881]]
@tavsanuwu @angelifca tabii ki bebek yazabilirsin istersen özelden de yazabilirsin,[[0.45258446 0.54741554]]
@artikbeniyorma Üzerinde çalışır kutunun.,[[0.46964119 0.53035881]]
RT @srkntnyldz: Demirören,[[0.46964119 0.53035881]]
yok ya kendimi ne kaptırıcam dedikten sonra benim aşık olma seviyesi  https://t.co/4niUU4HL2u,[[0.40711539 0.59288461]]
RT @AsuduYusuf: KaranlıkGüçler İşBaşında  https://t.co/YeqjcGWyQr,[[0.40711539 0.59288461]]
@clktugce kalbimde,[[0.46964119 0.53035881]]
RT @izzetdas: #AdanaEmniyeti BİBER GAZI İLE MÜDAHALEDE BULUNDU  Kardeşlerimizi SerbestKalsın #AdaletYeriniBulsun  https://t.co/SZ3dCPhBxB,[[0.40711539 0.59288461]]
RT @nebevihareket: Kardeşlerimiz SerbestKalsın  Dosyada ele alınacak hiç bir delil yokmuş...Bomboş bir dosya.. Emniyet iftira atıyor.. Emni…,[[0.46964119 0.53035881]]
Mesafe diyorum güzel şey,[[0.46964119 0.53035881]]
@Kubra__571 Bayrak inmez,[[0.46964119 0.53035881]]
"Kaçırılan iş adamı bulunduktan sonra \"Furkan Gönüllüleri suçsuz\" dediği halde yandaş medya Furkan Gönüllülerine ait görüntüleri kullanarak iş adamını kaçıranlar onlarmış gibi algı oluşturdu. Yargısızİnfaza Son   https://t.co/ZbcpHHFEnz",[[0.37038487 0.62961513]]
"RT @ebru7747: 5- Rezil olmaya doymayan @ihacomtr ın haberleri devam ediyor!  Habere başlığı \"kayyum atanan Furkan Vakfından eşya kaçırırken…",[[0.46964119 0.53035881]]
@dalgageciyorum Niye ki iste hemen canını verir vatan için ama arabasını vermez😂,[[0.46964119 0.53035881]]
@melunmahluk Ölmek için doğmuşuz,[[0.46964119 0.53035881]]
@csofmyeuphoriax kesinlikle ya parmağında oynatıp her isteğini elde ediyordu,[[0.46964119 0.53035881]]
RT @projeksin: ”artık hiçbir şey istememek. bekleyecek bir şey kalmayana dek beklemek. avare dolaşmak,[[0.46964119 0.53035881]]
Umutları yıkılıp da kendi sağ kalanlara yardım et Allah'ım🙏   Hayırlı Cumalar 🌙,[[0.46964119 0.53035881]]
RT @tekemenT: FURKANDIR ADIMIZ TEMİZDİR ALNIMIZ... İftiracıİHA RezilOldu #FurkanaKumpasÇöktü #çöktü  #650Lirayla  #Malatya  #dersler30dakik…,[[0.46964119 0.53035881]]
herhangi bir plan yaptığım günler başımı ellerimin arasına alıp sallanarak benim de asosyalliğimi yenmeye ihtiyacım olduğuna,[[0.47932462 0.52067538]]
Geceden beri bi yağmur bastırdı durmuyor.,[[0.46964119 0.53035881]]
@seelinus &gt;,[[0.46964119 0.53035881]]
@Metin___Ucar @mucizekur Ben de arap'ım halva tatlı anlamına geliyor ama kimileri de yerine göre farklı kullanabiliyorlar.,[[0.36542822 0.63457178]]
Bazıları çok fakir...  Düşünsenize,[[0.46964119 0.53035881]]
@pelinuzl Diğer kızlar ne diyecek bakalım en son karar verelim😄,[[0.38987615 0.61012385]]
RT @Byznrfsnky: Yargısızİnfaza Son  ‘’Hukukun kuvvetinin azaldığı yerde,[[0.38987615 0.61012385]]
İnsanları abartmayın,[[0.46964119 0.53035881]]
@Silayksel4 Mutluluk emojisi,[[0.46964119 0.53035881]]
Cam gibi çocukları kırmaya çalışırsanız eliniz uff olur hahahahah,[[0.46964119 0.53035881]]
@borsacibaba Yetmez,[[0.46964119 0.53035881]]
@izmirrbeyi  https://t.co/Fdpp1Gbpiv,[[0.40711539 0.59288461]]
Mümkünse görüşmeyelim kardesssssss,[[0.46964119 0.53035881]]
Neysee hayal kurmayalım şimdi.,[[0.46964119 0.53035881]]
su dilin nahifliğine bakar mısınız.. ask dili,[[0.48886574 0.51113426]]
RT @FilmDiziAlinti: “Bazen insanlara bakıyorum da hoşlanmaya değer bir şey görmüyorum. Herkesten uzaklaşmayı sağlayacak kadar para kazanmak…,[[0.46964119 0.53035881]]
RT @1919_dil: Araplar,[[0.46964119 0.53035881]]
müthiş bi çar cumhuriyetin son kalesi yürüyen chp,[[0.38987615 0.61012385]]
RT @ismailatass: Her şey ortaya çıktı! İftiralar yine elinizde patladı! Baskılar bizi yıldıramadı! Hamdolsun.  Şimdi işkence yapıp talimatl…,[[0.46964119 0.53035881]]
@dilekzdg  https://t.co/V13HirSF1o,[[0.40711539 0.59288461]]
Bunu başka ülkede yapma bindiğin uçağa seni tersten bindirip getirirler veya uçağı sana bindirirler!.#Thodex,[[0.46964119 0.53035881]]
@hakandmrl @paraolacak İsterlerse BİST i boğa piyasasına çevire bilirler neticede ceplerinden bişey çıkmıyor ama çok gariptir ki insanlar kazanmasın diye ellerinden geleni yapıyorlar.,[[0.46964119 0.53035881]]
adama diyorum ki 11den sonra fal bakmıyorum diyo ki valla ben sadece bu saatte müsaitim bakıyorsan bak be amın oğlu napıyosun günün geri kalan 23 saati taş mı taşıyosun at yarra,[[0.28852765 0.71147235]]
Ben hızlı değilim siz yavaşsınız aldkfj  https://t.co/JOb0Rykh1L,[[0.29239653 0.70760347]]
RT @TCAytunCiray: Biz de kınıyoruz ama.. İdlib'de 36 şehit verdiğimizde.. Uygur Tüerkleri asimile edilirken  bunlar neredeydiler? Esnaf COV…,[[0.45258446 0.54741554]]
@borsacibaba Yani zaten ne olyursa düştükten sonra ortaya çıkıyor.,[[0.46964119 0.53035881]]
RT @kutupokuzu: 😂  https://t.co/B9xWuC9taM,[[0.40711539 0.59288461]]
@CihanH4N Odun hshdhh,[[0.46964119 0.53035881]]
Grip olmuşum ama bana sorsan ölüyüm,[[0.46964119 0.53035881]]
Gelen günler geçen günleri anımsatmıyor bile,[[0.46964119 0.53035881]]
@NoRespecte Bakıyorumdalgama,[[0.46964119 0.53035881]]
RT @iarslanoglu55: Yargısızİnfaza Son Yargılı olanda da hayat yok! Nerden tutsan elinde kalır.,[[0.38987615 0.61012385]]
@Jin__73 👏,[[0.46964119 0.53035881]]
RT @yusufkaraca3101: Hani tutuksuz yargılama esastı. Neden kendi koydugunuz kanunlara uymuyorsunuz.  Yargısızİnfaza Son,[[0.38987615 0.61012385]]
küsüştük biraz sinirli  https://t.co/tTc6ZrKk94,[[0.40711539 0.59288461]]
Me=Atakan Özyurt,[[0.46964119 0.53035881]]
RT @frkn2015: Tutuksuz yargılamanın esas olması gerektiği adalet saraylarında(!) delilsiz ispatsız talimatla verilen tutuklama kararlarını…,[[0.46964119 0.53035881]]
@Sade_Kahve1987 ☕☕Afiyet olsun,[[0.46964119 0.53035881]]
Anlayacağını bilsem oturur uzun uzun anlatırdım.,[[0.46964119 0.53035881]]
Yabancılığın daha alımlıydı belki.,[[0.46964119 0.53035881]]
@pelinuzl @mkaanguney 😄😄,[[0.46964119 0.53035881]]
Müq değil mi?,[[0.46964119 0.53035881]]
@Ozgekocahan @eminecoskun00 Nsjsjsjsjssjjsjdjdj,[[0.46964119 0.53035881]]
RT @pozitif1adam: Ah şu #Öğretmen 'ler 🤭  Pozitif Adam ile hayata bakış açınız değişecek 😉😂    https://t.co/TY8KMaAFDk,[[0.40711539 0.59288461]]
Şimdiye kadar kurulmuş en güzel cümle sanırım  https://t.co/45aSr00oYO,[[0.40711539 0.59288461]]
RT @yusufkaraca3101: Adliye önünde bekleyen Alparslan Kuytul Hocaefendi'ye polisin biber gazlı müdahale anı!  Kardeşlerimiz SerbestKalsın…,[[0.46964119 0.53035881]]
@Ozgekocahan bireysel koçluk ile bir güzel arkadaşımızı doğru yola sokacağız😂😋,[[0.46964119 0.53035881]]
RT @Huzursesimiz123: Tutuksuz yargılamanın esas olması gerektiği adalet saraylarında(!) delilsiz ispatsız talimatla verilen tutuklama karar…,[[0.46964119 0.53035881]]
@sellyapisces 🥺🤍🤍🤍,[[0.46964119 0.53035881]]
RT @CihatKuru: Furkan Gönüllülerine Kumpas Devam Ediyor! Bir Gönüllü Daha Haksızca Tutuklandı! Yargısızİnfaza Son  https://t.co/Hjul9bslVl,[[0.37038487 0.62961513]]
Şu can sıkıntısı için de bi ilaç yapsalar ya,[[0.45258446 0.54741554]]
Haklı olmak kadar,[[0.46964119 0.53035881]]
@olduozaman000 Hoşbuldum öyle gerekti yine buradayım,[[0.46964119 0.53035881]]
@gevezesena Bjk olan ortamdan uzaklaş tartışma bile o derece cahiliyeee 😃,[[0.46964119 0.53035881]]
RT @AslanHocam: Tutuksuz yargılamanın esas olması gerektiği adalet saraylarında(!) delilsiz ispatsız talimatla verilen tutuklama kararların…,[[0.46964119 0.53035881]]
@ononhareket Çok önemli bir gelişme ve paylaşım olmuş.,[[0.46964119 0.53035881]]
RT @Rahmanakul34: Rabbim mazlumun hakkını zalimlerden al nolur.  Kardeşlerimiz SerbestKalsın,[[0.43435452 0.56564548]]
İyi şarkıların kötü hatıralara ihtiyacı vardır,[[0.46964119 0.53035881]]
@caapulcukiz @NLpeyniri Haklılar.,[[0.46964119 0.53035881]]
RT @tevhidnesli_7: ADANA ADLİYESİ ÖNÜNDE BEKLEYİŞ | CANLI YAYIN   Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@ibrahimtklu Konuşsam çok şey söylerdim de dilim varmadı djjddjj,[[0.45258446 0.54741554]]
RT @mervedagfv: 4 Gündür Hiçbir Suçu Olmadığı Halde Gözaltında Tutulan 3 Furkan Gönüllüsü Serbest Bırakılsın!  Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
Hayırlı sahurlar  🤗,[[0.46964119 0.53035881]]
Her gün şarkı çıkartmak ne aq ya biraz ağırlığınız olsun,[[0.46964119 0.53035881]]
@Gkhan36048848 @metineskikara @SavciSayan İşte ülke durumu ortada.,[[0.46964119 0.53035881]]
Yüzümüzü güldüren insanlar hep sağ olsun..,[[0.46964119 0.53035881]]
kahve falında en başta soru alırsan zaten ne anladık kanks ya danışanın sorduğu sorulara göre bir şeyler uydurucaksın ya da tarota sorucaksın. en başta hissederek enerjinle kahve falına bakarsın daha sonra danışan yorumunu okuduktan sonra soru hakkı tanır kartlara sorarsın,[[0.46964119 0.53035881]]
Huzur kırmızı  Ben renk körüyüm sаnki,[[0.28852765 0.71147235]]
herkesin tatillerde poz verirken benim 7/24 insanların nazını çekerek para kazanmaya çalışıyor olmam sınıf farkına olan kinimi daha da körüklüyor,[[0.46964119 0.53035881]]
Seviyorlar hayatı,[[0.46964119 0.53035881]]
@gullceB Ahahajalaşskdj sence sen fal baktırıp sonra söylediğim hiçbir şeyi dikkate almadan kendi kafana eseni yapıyo musundur,[[0.46964119 0.53035881]]
@atarl_cavidan61 O zaman biri bana lahmacun ısmarlasın,[[0.46964119 0.53035881]]
yok ya sanmam,[[0.46964119 0.53035881]]
RT @Adam_Hur27: Tutuksuz Yargılama Esastır..  Yargısızİnfaza Son,[[0.38987615 0.61012385]]
Tantuni olsa da gömsek .,[[0.46964119 0.53035881]]
Danışanlarıma gereksiz harcama yapma diye 7/24 tavsiye verip elime 2 kuruş geçince nereye harcasam diye düşünüyorum,[[0.46964119 0.53035881]]
"RT @furkanhabernet: 5 gündür kayıp iş adamı Koray Sarısaçlı'nın eşi Rumeysa Sarısaçlı Hocahanım:  \"Emniyet birçok Furkan Gönüllüsünün evine…",[[0.46964119 0.53035881]]
"RT @ah_ekinci: MedyaEliyle TuzakKuruluyor Tuzak kuranlar şunu unutuyor: \"Allah tuzak kuranların en hayırlısıdır.\" Biz Allah'a tevekkül etti…",[[0.46964119 0.53035881]]
@hazalerogglu2 Seri üzgün,[[0.46964119 0.53035881]]
@Enesaboubakar @onurhazretleri Adam gerçekten sinir kontrolü olmayan yapıda yazık makama.,[[0.46964119 0.53035881]]
@atarl_cavidan61 Akhdnfmdm,[[0.46964119 0.53035881]]
@1940yucel Çıldırttılar abi ya 😄😄,[[0.46964119 0.53035881]]
@06melihgokcek @BeratAlbayrak Bunlara ne yediriliyor ne içiriliyor?,[[0.46964119 0.53035881]]
@futbolarena Mesut Özil nerde,[[0.46964119 0.53035881]]
@ali_kumuru Yok yok gelmediii aliiiiiii😊,[[0.46964119 0.53035881]]
RT @Ruya_Grck: Akıl Almaz İşkenceleriyle Adana Emniyetinin Hukuksuzluk Zinciri! Emniyetteİşkenceyi Lanetliyoruz #AdaletBekleyişi  https://t.…,[[0.46964119 0.53035881]]
RT @tuncelpolat: Bu zülüm derhan bitsin Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
RT @TugayTASCI02: KaranlıkGüçler İşBaşında  https://t.co/W54XBmTigi,[[0.40711539 0.59288461]]
Herşeyde nasıl kaybedebiliriz ya soruyorum,[[0.46964119 0.53035881]]
Zengine COVİD-19  derler fakire Corona derler müge abla.,[[0.46964119 0.53035881]]
@furkanariss Jdndndjd,[[0.46964119 0.53035881]]
Bebeğim söyle ne istiyorsun,[[0.46964119 0.53035881]]
Taşı delen suyun kuvveti değil,[[0.46964119 0.53035881]]
malum kişinin gitmesi who?,[[0.46964119 0.53035881]]
@tthesiren Saça göre tarak,[[0.46964119 0.53035881]]
Şimdilerde kimse bilmiyor çiçek koklamayı.,[[0.46964119 0.53035881]]
RT @Petek_Sarsu: Bugün ise yine olayla hiçbir alakası olmayan Emrah Taş kardeşimiz de apar topar gözaltına alınıp savcılık kararıyla bugün…,[[0.45258446 0.54741554]]
RT @furkanvakfiTT: KIYMETLİ KARDEŞLERİMİZ GÜNDEM ÇALIŞMAMIZ BAŞLADI ‼️  ETİKETİMİZ;  Kardeşlerimiz SerbestKalsın,[[0.46964119 0.53035881]]
@ilaydasekeerr Ooo soğukkanlı ol tamam mı 😝,[[0.46964119 0.53035881]]
RT @Zaytungpost: İstanbul Dolapdere’de pudra şekercilerle Venezuela beyaz peynircileri arasında çatışma çıktı. Ayrıntılar geliyor...,[[0.45258446 0.54741554]]
@Kubra__571 Boşanınca daha farklımı olucak?,[[0.46964119 0.53035881]]
@pars489 Fişek nasıl daha dikkatli kullanılabilir? Havaya atıldığında kuşların kalp krizi geçirmesine neden olan,[[0.46964119 0.53035881]]
RT @ah_ekinci: İş adamı kaçırılıyor,[[0.46964119 0.53035881]]
